id,entity_id,asset_id,severity,status,opened_at,closed_at,escalation_level,closure_reason
al-000001,ent-001,asset-00001,high,closed,2026-09-14T15:33:48.939754,2026-09-15T04:33:48.939754,1,Remediated
al-000002,ent-002,asset-00009,high,closed,2026-09-14T15:26:48.939754,2026-09-15T04:26:48.939754,1,Remediated
al-000003,ent-003,asset-00017,medium,closed,2026-09-14T15:19:48.939754,2026-09-15T04:19:48.939754,1,Remediated
al-000004,ent-004,asset-00025,high,open,2026-09-14T15:12:48.939754,,1,
al-000005,ent-005,asset-00033,high,closed,2026-09-14T15:05:48.939754,2026-09-15T04:05:48.939754,1,Remediated
al-000006,ent-006,asset-00041,medium,closed,2026-09-14T14:58:48.939754,2026-09-15T03:58:48.939754,1,Remediated
al-000007,ent-007,asset-00049,high,closed,2026-09-14T14:51:48.939754,2026-09-15T03:51:48.939754,1,Remediated
al-000008,ent-008,asset-00057,high,open,2026-09-14T14:44:48.939754,,1,
al-000009,ent-009,asset-00065,medium,closed,2026-09-14T14:37:48.939754,2026-09-15T03:37:48.939754,1,Remediated
al-000010,ent-010,asset-00073,high,closed,2026-09-14T14:30:48.939754,2026-09-14T15:15:48.939754,0,Duplicate alert
al-000011,ent-011,asset-00081,high,closed,2026-09-14T14:23:48.939754,2026-09-15T03:23:48.939754,1,Remediated
al-000012,ent-012,asset-00090,medium,open,2026-09-14T14:16:48.939754,,1,
al-000013,ent-001,asset-00002,critical,closed,2026-09-14T14:09:48.939754,2026-09-15T03:09:48.939754,0,Remediated
al-000014,ent-002,asset-00010,high,closed,2026-09-14T14:02:48.939754,2026-09-15T03:02:48.939754,1,Remediated
al-000015,ent-003,asset-00018,medium,closed,2026-09-14T13:55:48.939754,2026-09-14T14:40:48.939754,0,Duplicate alert
al-000016,ent-004,asset-00026,high,open,2026-09-14T13:48:48.939754,,1,
al-000017,ent-005,asset-00034,high,closed,2026-09-14T13:41:48.939754,2026-09-14T14:26:48.939754,0,Duplicate alert
al-000018,ent-006,asset-00042,medium,closed,2026-09-14T13:34:48.939754,2026-09-15T02:34:48.939754,1,Remediated
al-000019,ent-007,asset-00050,high,closed,2026-09-14T13:27:48.939754,2026-09-15T02:27:48.939754,1,Remediated
al-000020,ent-008,asset-00058,high,open,2026-09-14T13:20:48.939754,,1,
al-000021,ent-009,asset-00066,medium,closed,2026-09-14T13:13:48.939754,2026-09-15T02:13:48.939754,1,Remediated
al-000022,ent-010,asset-00074,high,closed,2026-09-14T13:06:48.939754,2026-09-15T02:06:48.939754,1,Remediated
al-000023,ent-011,asset-00082,high,closed,2026-09-14T12:59:48.939754,2026-09-15T01:59:48.939754,1,Remediated
al-000024,ent-012,asset-00091,medium,open,2026-09-14T12:52:48.939754,,1,
al-000025,ent-001,asset-00003,high,closed,2026-09-14T12:45:48.939754,2026-09-15T01:45:48.939754,1,Remediated
al-000026,ent-002,asset-00011,critical,closed,2026-09-14T12:38:48.939754,2026-09-15T01:38:48.939754,0,Remediated
al-000027,ent-003,asset-00019,medium,closed,2026-09-14T12:31:48.939754,2026-09-15T01:31:48.939754,1,Remediated
al-000028,ent-004,asset-00027,high,open,2026-09-14T12:24:48.939754,,1,
