id,entity_id,name,asset_type,criticality,telemetry_enabled
asset-00001,ent-001,Energy Operator 01 asset 01,OT,critical,true
asset-00002,ent-001,Energy Operator 01 asset 02,IT,critical,true
asset-00003,ent-001,Energy Operator 01 asset 03,OT,high,true
asset-00004,ent-001,Energy Operator 01 asset 04,IT,high,true
asset-00005,ent-001,Energy Operator 01 asset 05,OT,high,true
asset-00006,ent-001,Energy Operator 01 asset 06,IT,high,true
asset-00007,ent-001,Energy Operator 01 asset 07,OT,high,true
asset-00008,ent-001,Energy Operator 01 asset 08,IT,high,true
asset-00009,ent-002,Financial Services Operator 02 asset 01,OT,critical,true
asset-00010,ent-002,Financial Services Operator 02 asset 02,IT,critical,true
asset-00011,ent-002,Financial Services Operator 02 asset 03,OT,high,true
asset-00012,ent-002,Financial Services Operator 02 asset 04,IT,high,true
asset-00013,ent-002,Financial Services Operator 02 asset 05,OT,high,true
asset-00014,ent-002,Financial Services Operator 02 asset 06,IT,high,true
asset-00015,ent-002,Financial Services Operator 02 asset 07,OT,high,true
asset-00016,ent-002,Financial Services Operator 02 asset 08,IT,high,true
asset-00017,ent-003,Water Operator 03 asset 01,OT,critical,false
asset-00018,ent-003,Water Operator 03 asset 02,IT,critical,false
asset-00019,ent-003,Water Operator 03 asset 03,OT,high,true
asset-00020,ent-003,Water Operator 03 asset 04,IT,high,true
asset-00021,ent-003,Water Operator 03 asset 05,OT,high,true
asset-00022,ent-003,Water Operator 03 asset 06,IT,high,true
asset-00023,ent-003,Water Operator 03 asset 07,OT,high,true
asset-00024,ent-003,Water Operator 03 asset 08,IT,high,true
asset-00025,ent-004,Transport Operator 04 asset 01,OT,critical,true
asset-00026,ent-004,Transport Operator 04 asset 02,IT,critical,true
asset-00027,ent-004,Transport Operator 04 asset 03,OT,high,true
asset-00028,ent-004,Transport Operator 04 asset 04,IT,high,true
asset-00029,ent-004,Transport Operator 04 asset 05,OT,high,true
asset-00030,ent-004,Transport Operator 04 asset 06,IT,high,true
asset-00031,ent-004,Transport Operator 04 asset 07,OT,high,true
asset-00032,ent-004,Transport Operator 04 asset 08,IT,high,true
asset-00033,ent-005,Telecommunications Operator 05 asset 01,OT,critical,true
asset-00034,ent-005,Telecommunications Operator 05 asset 02,IT,critical,true
asset-00035,ent-005,Telecommunications Operator 05 asset 03,OT,high,true
asset-00036,ent-005,Telecommunications Operator 05 asset 04,IT,high,true
asset-00037,ent-005,Telecommunications Operator 05 asset 05,OT,high,true
asset-00038,ent-005,Telecommunications Operator 05 asset 06,IT,high,true
asset-00039,ent-005,Telecommunications Operator 05 asset 07,OT,high,true
asset-00040,ent-005,Telecommunications Operator 05 asset 08,IT,high,true
asset-00041,ent-006,Healthcare Operator 06 asset 01,OT,critical,true
asset-00042,ent-006,Healthcare Operator 06 asset 02,IT,critical,true
